Player_Goals,Team_Goals,Goals,Penalty,First Goal,,Player_Cards,Team_Cards,Yellow card,Red card,Pts,,Player_Assists,Team_Assists,Appearances,Assists
L. Manyama,Cape Town City,13,2,6,,B. Mandela,Maritzburg Utd,6,2,12,,A. Ngoma,Cape Town City FC,28,12
T. Ndoro,Pirates,12,2,8,,R. Pietersen,Ajax,4,2,10,,P. Tau,Mamelodi Sundowns,28,10
R. Ramagalela,Polokwane,10,0,7,,S. Mlilo,Platinum,4,2,10,,J. Percy Maluleke,Polokwane City,28,8
F. Mhango,BV Wits,9,1,4,,M. Matsi,Cape Town City,7,1,10,,D. Klate,Bidvest Wits,25,7
K. Billiat,Mamelodi,8,0,4,,D. Mekoa,Maritzburg Utd,7,1,10,,K. Billiat,Mamelodi Sundowns,19,7
J. Brockie,SuperSport Utd,8,3,1,,K. Mngonyama,Maritzburg Utd,7,1,10,,T. Mosadi,Ajax Cape Town,25,6
R. Manzini,Chippa Utd,8,2,4,,D. Klate,BV Wits,6,1,9,,M. Ngele,Bidvest Wits,18,6
T. Zwane,Mamelodi,8,0,5,,A. Ndengane,Bloemfontein,9,0,9,,D. Mekoa,Maritzburg United,26,6
L. Lamola,Arrows,7,0,3,,O. Bhasera,SuperSport Utd,5,1,8,,F. Cale,Highlands Park,25,6
L. Majoro,Cape Town City,7,0,4,,T. Sangweni,Chippa Utd,5,1,8,,R. Letsholonyane,SuperSport United,27,5
J. Maluleke,Polokwane,7,1,4,,R. Johannes,Cape Town City,5,1,8,,N. Mabena,Platinum Stars,25,5
T. Phala,SuperSport Utd,7,0,2,,Z. Ngalo,Highlands Park,8,0,8,,E. Chirambadare,Kaizer Chiefs,18,5
P. Tau,Mamelodi,7,0,3,,D. Manaka,Polokwane,8,0,8,,R. Ramagalela,Polokwane City,28,5
S. Tshabalala,Kaizer Chiefs,7,0,4,,S. Mxoyana,Bloemfontein,8,0,8,,O. Manyisa,Orlando Pirates,27,5
K. Lentjies,Maritzburg Utd,6,1,4,,D. Furman,SuperSport Utd,8,0,8,,T. Mnyamane,SuperSport United,27,5
P. Mahlambi,BV Wits,6,2,3,,D. Manaka,Polokwane,8,0,8,,V. Mere,Platinum Stars,28,4
L. Manzini,Chippa Utd,6,0,3,,B. Fransman,Maritzburg Utd,4,1,7,,R. Mphahlele,Kaizer Chiefs,28,4
T. Mnyamane,SuperSport Utd,6,0,5,,T. Tshilo,Polokwane,4,1,7,,M. Makola,Orlando Pirates,26,4
M. Mvala,Highlands Park,6,0,4,,V. Mere,Platinum,7,0,7,,J. Brockie,SuperSport United,27,4
R. Ng’ambi,Platinum,6,0,6,,L. Manyama,Cape Town City,7,0,7,,L. Memela,Orlando Pirates,16,4
N. Paulse,Ajax,6,1,5,,N. Vilakazi,Free State,7,0,7,,G. Maluleka,Kaizer Chiefs,24,4
M. Anas,Free State,5,0,2,,W. Katsande,Kaizer Chiefs,7,0,7,,G. Lebese,Kaizer Chiefs,21,4
B. Jayiya,Cape Town City,5,0,3,,R. Letsholonyane,SuperSport Utd,7,0,7,,H. Mhango,Bidvest Wits,24,4
H. Kekana,Mamelodi,5,0,5,,M. Gould,SuperSport Utd,7,0,7,,J. Moseamedi,Cape Town City FC,25,4
M. Mokate,Maritzburg Utd,5,0,4,,S. Mathe,Platinum,7,0,7,,T. Thopola,Chippa United,24,4
J. Mosemaedi,Cape Town City,5,0,1,,E. Kanyenda,Polokwane,3,1,6,,T. Morena,Mamelodi Sundowns,29,4
K. Mutizwa,Arrows,5,0,3,,G. Maluleka,Kaizer Chiefs,3,1,6,,P. Mahlambi,Bidvest Wits,13,4
A. Ngoma,Cape Town City,5,0,3,,F. Hachi,Mamelodi,3,1,6,,T. Mokoena,SuperSport United,10,4
M. Nxumalo,Ajax,5,0,3,,L. Phalane,Bloemfontein,3,1,6,,L. Lamola,Golden Arrows,27,4
M. Nyatama,Bloemfontein,5,1,3,,D. Phiri,Arrows,6,0,6,,L. Majoro,Cape Town City FC,23,4
B. Parker,Kaizer Chiefs,5,1,3,,R. Putsche,Cape Town City,6,0,6,,T. Hlatshwayo,Bidvest Wits,24,3
T. Sekotlong,Free State,5,1,4,,J. Okwuosa,Chippa Utd,6,0,6,,T. Langerman,Mamelodi Sundowns,21,3
B. Shilongo,Platinum,5,0,1,,L. Gordinho,Kaizer Chiefs,6,0,6,,M. Boxall,SuperSport United,28,3
G. Dlamini,Free State,4,0,4,,T. Teyise,Free State,6,0,6,,W. Twala,Kaizer Chiefs,20,3
L. Gordinho,Kaizer Chiefs,4,0,4,,J. Chabalala,Chippa Utd,6,0,6,,L. Manyama,Cape Town City FC,27,3
S. Jembula,Polokwane,4,0,3,,F. Cale,Highlands Park,6,0,6,,P. Tlolane,Polokwane City,23,3
W. Katsande,Kaizer Chiefs,4,1,2,,S. Mbonani,Polokwane,6,0,6,,K. Nkhatha,SuperSport United,24,3
G. Lebese,Kaizer Chiefs,4,1,3,,T. Thlone,Free State,6,0,6,,S. Myeni,Bidvest Wits,16,3
S. Letsoalo,Baroka,4,0,3,,C. Msowoya,Arrows,2,1,5,,E. Pelembe,Bidvest Wits,22,3
T. Lorch,Pirates,4,0,3,,K. Lentjies,Maritzburg Utd,2,1,5,,R. Matloga,Baroka FC,26,3
C. Malajila,BV Wits,4,0,3,,J. Adjei,Cape Town City,2,1,5,,G. Margeman,Ajax Cape Town,14,3
B. Mandela,Maritzburg Utd,4,0,2,,S. Khumalo,Kaizer Chiefs,2,1,5,,T. Phala,SuperSport United,26,3
M. Matlakala,Baroka,4,0,3,,C. Miheso,Arrows,2,1,5,,P. Nxumalo,Ajax Cape Town,23,3
R. Matloga,Baroka,4,2,3,,M. Mzimela,Platinum,2,1,5,,R. Ng’ambi,Platinum Stars,21,3
C. Mbesuma,Highlands Park,4,2,4,,C. Msowoya,Arrows,2,1,5,,B. Parker,Kaizer Chiefs,23,3
B. Mkhwanazi,BV Wits,4,0,1,,J. Adjei,Cape Town City,2,1,5,,N. Sibiya,Golden Arrows,23,3
V. Mngomezulu,Polokwane,4,0,1,,C. Miheso,Arrows,2,1,5,,L. Castro,Mamelodi Sundowns,14,3
B. Ntuli,Platinum,4,0,1,,M. Mzimela,Platinum,2,1,5,,K. Lentjies,Maritzburg United,26,3
E. Rusike,Maritzburg Utd,4,0,2,,T. Ngobeni,Free State,5,0,5,,G. Phiri,Platinum Stars,16,3
S. Vilakazi,Mamelodi,4,0,0,,H. Jele,Pirates,5,0,5,,G. Chigova,Polokwane City,29,2
K. Zakri,Mamelodi,4,0,1,,T. Hlatshwayo,BV Wits,5,0,5,,,,,
M. Bilankulu,Arrows,3,1,2,,B. Motshwari,BV Wits,5,0,5,,,,,
H. Botes,Platinum,3,1,2,,O. Shaku,Baroka,5,0,5,,,,,
T. Hlatshwayo,BV Wits,3,0,1,,N. Paulse,Ajax,5,0,5,,,,,
W. Jooste,Arrows,3,0,1,,M. Kunene,Baroka,5,0,5,,,,,
R. Letsholonyane,SuperSport Utd,3,0,2,,M. Mvala,Highlands Park,5,0,5,,,,,
N. Mabena,Platinum,3,0,1,,H. Botes,Platinum,5,0,5,,,,,
L. Maboe,Maritzburg Utd,3,0,2,,G. Scott,BV Wits,5,0,5,,,,,
K. Mahachi,Arrows,3,0,1,,B. Parker,Kaizer Chiefs,5,0,5,,,,,
M. Mahashe,Baroka,3,0,3,,E. Rusike,Maritzburg Utd,5,0,5,,,,,
J. Malongoane,Kaizer Chiefs,3,0,1,,W. Arendse,Mamelodi,5,0,5,,,,,
G. Margeman,Ajax,3,0,3,,P. Tlolane,Polokwane,5,0,5,,,,,
M. Masango,SuperSport Utd,3,0,2,,B. Shandu,Maritzburg Utd,5,0,5,,,,,
C. Mashumba,Highlands Park,3,0,0,,N. Mngwengwe,Arrows,1,1,4,,,,,
M. Mayambela,Ajax,3,0,3,,K. Ritchie,SuperSport Utd,1,1,4,,,,,
T. Mncwango,Polokwane,3,1,2,,K. Dikgacoi,Arrows,1,1,4,,,,,
T. Mosadi,Ajax,3,0,2,,S. Myeni,BV Wits,1,1,4,,,,,
B. Mzwakali,Ajax,3,0,2,,P. Nkabinde,Baroka,1,1,4,,,,,
M. Ngele,BV Wits,3,0,0,,G. Margeman,Ajax,1,1,4,,,,,
K. Nkhatha,SuperSport Utd,3,0,2,,L. Maboe,Maritzburg Utd,4,0,4,,,,,
T. Nthethe,Mamelodi,3,1,2,,C. Katjiukua,Highlands Park,4,0,4,,,,,
E. Rodgers,BV Wits,3,1,2,,M. Mayambela,Ajax,4,0,4,,,,,
P. Tlolane,Polokwane,3,0,1,,E. Mathoho,Kaizer Chiefs,4,0,4,,,,,
D. Womé,Pirates,3,0,2,,M. Makola,Pirates,4,0,4,,,,,
C. Alexander,SuperSport Utd,2,0,1,,K. Bergman,Chippa Utd,4,0,4,,,,,
M. Boxall,SuperSport Utd,2,0,0,,M. Lebusa,Ajax,4,0,4,,,,,
C. Daniels,SuperSport Utd,2,0,1,,L. Lartey,Ajax,4,0,4,,,,,
B. Fransman,Maritzburg Utd,2,0,1,,T. Monare,BV Wits,4,0,4,,,,,
T. Gabuza,Pirates,2,0,2,,S. Mabunda,Mamelodi,4,0,4,,,,,
M. Gould,SuperSport Utd,2,0,1,,S. Seabi,Polokwane,4,0,4,,,,,
R. Kabwe,Ajax,2,0,1,,J. Malongoane,Kaizer Chiefs,4,0,4,,,,,
J. Keene,BV Wits,2,0,1,,T. Mokeke,Cape Town City,4,0,4,,,,,
T. Khuboni,Highlands Park,2,2,2,,M. Bilankulu,Arrows,4,0,4,,,,,
B. Khumalo,BV Wits,2,0,1,,S. Mbhele,Free State,4,0,4,,,,,
D. Klate,BV Wits,2,1,0,,L. Mbatha,Highlands Park,4,0,4,,,,,
L. Lakay,Bloemfontein,2,0,2,,H. Kekana,Mamelodi,4,0,4,,,,,
M. Madisha,Mamelodi,2,0,1,,T. Mncwango,Polokwane,4,0,4,,,,,
G. Maluleka,Kaizer Chiefs,2,0,2,,J. Maluleke,Polokwane,4,0,4,,,,,
M. Maruping,Bloemfontein,2,0,2,,T. Mabokgwane,Pirates,0,1,3,,,,,
K. Mashego,Chippa Utd,2,1,2,,K. Madondo,Platinum,0,1,3,,,,,
S. Masina,Cape Town City,2,0,0,,R. Manzini,Chippa Utd,0,1,3,,,,,
L. Mbatha,Highlands Park,2,0,1,,T. Matlaba,Pirates,3,0,3,,,,,
N. Mdabuka,Ajax,2,0,1,,B. Theron,Highlands Park,3,0,3,,,,,
D. Mekoa,Maritzburg Utd,2,0,1,,D. Booysen,Free State,3,0,3,,,,,
E. Mkhabela,Platinum,2,0,1,,T. Mosadi,Ajax,3,0,3,,,,,
N. Mngwengwe,Arrows,2,0,2,,P. Tignyemb,Bloemfontein,3,0,3,,,,,
T. Monare,BV Wits,2,0,2,,G. Lebese,Kaizer Chiefs,3,0,3,,,,,
T. Morena,Mamelodi,2,0,0,,D. Hotto,Bloemfontein,3,0,3,,,,,
S. Moriri,Highlands Park,2,1,2,,A. Mobara,Pirates,3,0,3,,,,,
M. Munetsi,Baroka,2,1,2,,D. Akpeyi,Chippa Utd,3,0,3,,,,,
G. Páez,Kaizer Chiefs,2,0,1,,S. Tshabalala,Kaizer Chiefs,3,0,3,,,,,
Dominguês,BV Wits,2,0,2,,S. Moriri,Highlands Park,3,0,3,,,,,
D. Phiri,Arrows,2,0,2,,S. Dube,Arrows,3,0,3,,,,,
G. Phiri,Platinum,2,0,1,,T. Mkhize,Cape Town City,3,0,3,,,,,
R. Putsche,Cape Town City,2,0,2,,D. Womé,SuperSport Utd,3,0,3,,,,,
N. Ravhuhali,Baroka,2,0,2,,S. Phiri,Polokwane,3,0,3,,,,,
D. Saal,Maritzburg Utd,2,0,1,,R. Sankara,Bloemfontein,3,0,3,,,,,
T. Sangweni,Chippa Utd,2,0,2,,G. Dlamini,Free State,3,0,3,,,,,
N. Sibiya,Arrows,2,0,1,,S. Nhlapo,Highlands Park,3,0,3,,,,,
M. Sitayitayi,Highlands Park,2,0,2,,N. Cele,Arrows,3,0,3,,,,,
T. Tshabalala,Platinum,2,0,1,,A. Ngoma,Cape Town City,3,0,3,,,,,
T. Tshilo,Polokwane,2,0,2,,W. Jooste,Arrows,3,0,3,,,,,
D. Venter,Free State,2,0,1,,A. Mbenyane,Chippa Utd,3,0,3,,,,,
F. Abdul Razak,Bloemfontein,1,0,1,,P. Shalulile,Highlands Park,3,0,3,,,,,
W. Arendse,Mamelodi,1,0,1,,B. Mkhwanazi,BV Wits,3,0,3,,,,,
T. Bereng,Chippa Utd,1,0,0,,P. Tau,Mamelodi,3,0,3,,,,,
A. Fileccia,Maritzburg Utd,1,0,1,,M. Nxumalo,Ajax,3,0,3,,,,,
D. Cardoso,Kaizer Chiefs,1,0,1,,N. Gumede,Arrows,3,0,3,,,,,
N. Cele,Arrows,1,1,1,,K. Billiat,Mamelodi,3,0,3,,,,,
J. Chabalala,Pirates,1,0,1,,S. Jembula,Polokwane,3,0,3,,,,,
E. Chipeta,Ajax,1,0,1,,J. Garcia,Baroka,3,0,3,,,,,
K. Dikgacoi,Arrows,1,0,1,,T. Matlaba,Pirates,3,0,3,,,,,
K. Dolly,Mamelodi,1,0,0,,B. Moyo,Maritzburg Utd,3,0,3,,,,,
Ricardo Nascimento,Mamelodi,1,1,0,,J. Mosemaedi,Cape Town City,2,0,2,,,,,
C. Dube,Baroka,1,0,0,,J. Brockie,SuperSport Utd,2,0,2,,,,,
H. Ekstein,Kaizer Chiefs,1,0,1,,S. Jantjie,Free State,2,0,2,,,,,
A. Ella,Free State,1,0,0,,G. Phiri,Platinum,2,0,2,,,,,
D. Furman,SuperSport Utd,1,0,1,,A. Oluwafemi,Highlands Park,2,0,2,,,,,
J. Garcia,Baroka,1,1,1,,I. Sarr,Pirates,2,0,2,,,,,
A. Gcaba,Pirates,1,0,1,,S. Mnguni,Platinum,2,0,2,,,,,
B. Grobler,SuperSport Utd,1,0,0,,P. Masehe,Free State,2,0,2,,,,,
T. Gumede,Cape Town City,1,0,1,,M. Kgoetyane,Baroka,2,0,2,,,,,
S. Jantjie,Free State,1,0,0,,C. Dube,Baroka,2,0,2,,,,,
H. Jele,Pirates,1,0,1,,M. Nyatama,Bloemfontein,2,0,2,,,,,
C. Kampi,Free State,1,0,1,,S. Ledwaba,Highlands Park,2,0,2,,,,,
,,,,,,L. Lakay,Bloemfontein,2,0,2,,,,,
,,,,,,M. Boxall,SuperSport Utd,2,0,2,,,,,
,,,,,,J. Mosemaedi,Cape Town City,2,0,2,,,,,
,,,,,,V. Shikweni,Bloemfontein,2,0,2,,,,,
,,,,,,T. Nodada,Cape Town City,2,0,2,,,,,
,,,,,,M. Oscarine,Baroka,2,0,2,,,,,
,,,,,,Edmilson,Cape Town City,2,0,2,,,,,
,,,,,,B. Jayiya,Cape Town City,2,0,2,,,,,
,,,,,,K. Buchanan,Kaizer Chiefs,2,0,2,,,,,
,,,,,,M. Mathiane,Arrows,2,0,2,,,,,
,,,,,,S. van Wyk,Maritzburg Utd,2,0,2,,,,,
,,,,,,M. Maruping,Bloemfontein,2,0,2,,,,,
,,,,,,M. Makhaula,Free State,2,0,2,,,,,
,,,,,,K. Mahachi,Arrows,2,0,2,,,,,
,,,,,,K. Zwane,Highlands Park,2,0,2,,,,,
,,,,,,J. Keene,BV Wits,2,0,2,,,,,
,,,,,,L. Lamola,Arrows,2,0,2,,,,,
,,,,,,T. Sikhakhane,Pirates,2,0,2,,,,,
,,,,,,M. Booysen,SuperSport Utd,2,0,2,,,,,
,,,,,,A. Mbara,Highlands Park,2,0,2,,,,,
,,,,,,M. Mvelase,Chippa Utd,2,0,2,,,,,
,,,,,,J. Brockie,SuperSport Utd,2,0,2,,,,,
,,,,,,S. Jantjie,Free State,2,0,2,,,,,
,,,,,,G. Phiri,Platinum,2,0,2,,,,,
,,,,,,D. Saal,Maritzburg Utd,2,0,2,,,,,
,,,,,,F. Makaringe,Maritzburg Utd,2,0,2,,,,,
,,,,,,A. Oluwafemi,Highlands Park,2,0,2,,,,,
,,,,,,I. Sarr,Pirates,2,0,2,,,,,
,,,,,,S. Mnguni,Platinum,2,0,2,,,,,
,,,,,,P. Masehe,Free State,2,0,2,,,,,
,,,,,,D. Weidlich,Maritzburg Utd,2,0,2,,,,,
,,,,,,M. Kgoetyane,Baroka,2,0,2,,,,,
,,,,,,M. Nyatama,Bloemfontein,2,0,2,,,,,
,,,,,,B. Grobler,SuperSport Utd,2,0,2,,,,,
,,,,,,A. Fikizolo,Arrows,2,0,2,,,,,
,,,,,,M. Mbaeva,Arrows,2,0,2,,,,,
,,,,,,C. Dube,Baroka,2,0,2,,,,,
,,,,,,T. Lorch,Chippa Utd,2,0,2,,,,,
,,,,,,M. Dube,Bloemfontein,2,0,2,,,,,
,,,,,,P. Mako,Chippa Utd,2,0,2,,,,,
,,,,,,R. Norodien,Pirates,2,0,2,,,,,
,,,,,,J. Okumu,Free State,2,0,2,,,,,
,,,,,,G. Kekana,SuperSport Utd,2,0,2,,,,,
,,,,,,D. Farmer,SuperSport Utd,2,0,2,,,,,
,,,,,,B. Jayiya,Cape Town City,2,0,2,,,,,
,,,,,,V. Vries,Maritzburg Utd,2,0,2,,,,,
,,,,,,M. Mathiane,Arrows,2,0,2,,,,,
,,,,,,S. Walters,Cape Town City,2,0,2,,,,,
,,,,,,M. Maruping,Bloemfontein,2,0,2,,,,,
,,,,,,E. Mkhabela,Platinum,2,0,2,,,,,
,,,,,,M. Makhaula,Free State,2,0,2,,,,,
,,,,,,K. Mahachi,Arrows,2,0,2,,,,,
,,,,,,K. Zwane,Highlands Park,2,0,2,,,,,
,,,,,,L. Lamola,Arrows,2,0,2,,,,,
,,,,,,T. Langerman,Mamelodi,2,0,2,,,,,
,,,,,,T. Sikhakhane,Pirates,2,0,2,,,,,
,,,,,,R. Mphahlele,Kaizer Chiefs,2,0,2,,,,,
,,,,,,A. Mbara,Highlands Park,2,0,2,,,,,
,,,,,,M. Mvelase,Chippa Utd,2,0,2,,,,,
,,,,,,R. Evans,Ajax,1,0,1,,,,,
,,,,,,M. Pule,BV Wits,1,0,1,,,,,
,,,,,,R. De Jongh,Platinum,1,0,1,,,,,
,,,,,,Dominguês,BV Wits,1,0,1,,,,,
,,,,,,Ricardo Nascimento,Mamelodi,1,0,1,,,,,
,,,,,,A. Tshinuna,Baroka,1,0,1,,,,,
,,,,,,N. Mabena,Platinum,1,0,1,,,,,
,,,,,,C. Makgaka,Baroka,1,0,1,,,,,
,,,,,,M. Masango,SuperSport Utd,1,0,1,,,,,
,,,,,,E. Seedat,Cape Town City,1,0,1,,,,,
,,,,,,E. Chirambadare,Kaizer Chiefs,1,0,1,,,,,
,,,,,,T. Ndoro,Pirates,1,0,1,,,,,
,,,,,,P. Sekome,Chippa Utd,1,0,1,,,,,
,,,,,,M. Dlamini,Maritzburg Utd,1,0,1,,,,,
,,,,,,T. Qalinge,Pirates,1,0,1,,,,,
,,,,,,L. Nonyane,Arrows,1,0,1,,,,,
,,,,,,S. Zuke,Chippa Utd,1,0,1,,,,,
,,,,,,C. Jampies,Bloemfontein,1,0,1,,,,,
,,,,,,R. Frosler,BV Wits,1,0,1,,,,,
,,,,,,R. Kgaswane,Baroka,1,0,1,,,,,
,,,,,,E. Rodgers,BV Wits,1,0,1,,,,,
,,,,,,L. Castro,Mamelodi,1,0,1,,,,,
,,,,,,L. Shiba,Chippa Utd,1,0,1,,,,,
,,,,,,T. Morena,Mamelodi,1,0,1,,,,,
,,,,,,M. Sekola,Free State,1,0,1,,,,,
,,,,,,S. Letsoalo,Baroka,1,0,1,,,,,
,,,,,,S. Sithole,Platinum,1,0,1,,,,,
,,,,,,M. Anas,Free State,1,0,1,,,,,
,,,,,,L. Mzava,Arrows,1,0,1,,,,,
,,,,,,C. Mashumba,Highlands Park,1,0,1,,,,,
,,,,,,C. Kampi,Free State,1,0,1,,,,,
,,,,,,H. Ekstein,Kaizer Chiefs,1,0,1,,,,,
,,,,,,T. Masilela,Kaizer Chiefs,1,0,1,,,,,
,,,,,,K. Koena,Highlands Park,1,0,1,,,,,
,,,,,,O. Manyisa,Pirates,1,0,1,,,,,
,,,,,,C. Mbesuma,Highlands Park,1,0,1,,,,,
,,,,,,S. Moeti,Baroka,1,0,1,,,,,
,,,,,,R. Dlamini,Arrows,1,0,1,,,,,
,,,,,,L. Majoro,Cape Town City,1,0,1,,,,,
,,,,,,M. Thethani,Free State,1,0,1,,,,,
,,,,,,V. Kobola,Cape Town City,1,0,1,,,,,
,,,,,,R. Frosler,BV Wits,1,0,1,,,,,
,,,,,,X. Mlambo,BV Wits,1,0,1,,,,,
,,,,,,T. Kapini,Highlands Park,1,0,1,,,,,
,,,,,,S. Zulu,Platinum,1,0,1,,,,,
,,,,,,D. Keet,BV Wits,1,0,1,,,,,
,,,,,,M. Morton,SuperSport Utd,1,0,1,,,,,
,,,,,,K. Mashego,Chippa Utd,1,0,1,,,,,
,,,,,,B. Shilongo,Platinum,1,0,1,,,,,
,,,,,,R. Evans,Ajax,1,0,1,,,,,
,,,,,,A. Funga,Ajax,1,0,1,,,,,
,,,,,,R. De Jongh,Platinum,1,0,1,,,,,
,,,,,,T. Rakhale,Pirates,1,0,1,,,,,
,,,,,,Dominguês,BV Wits,1,0,1,,,,,
,,,,,,A. Tshinuna,Baroka,1,0,1,,,,,
,,,,,,N. Mabena,Platinum,1,0,1,,,,,
,,,,,,T. Mokoena,SuperSport Utd,1,0,1,,,,,
,,,,,,C. Makgaka,Baroka,1,0,1,,,,,
,,,,,,D. Venter,Free State,1,0,1,,,,,
,,,,,,R. Mahamutsa,Free State,1,0,1,,,,,
,,,,,,T. Phala,SuperSport Utd,1,0,1,,,,,
,,,,,,M. Josephs,BV Wits,1,0,1,,,,,
,,,,,,S. Senne,Platinum,1,0,1,,,,,
,,,,,,D. Nkausu,Free State,1,0,1,,,,,
,,,,,,N. Allie,BV Wits,1,0,1,,,,,
,,,,,,T. Maleka,Baroka,1,0,1,,,,,
,,,,,,D. Keet,BV Wits,1,0,1,,,,,
,,,,,,W. Musona,Polokwane,1,0,1,,,,,
,,,,,,K. Mashego,Chippa Utd,1,0,1,,,,,
,,,,,,R. Soso,Baroka,1,0,1,,,,,
,,,,,,T. Mnyamane,SuperSport Utd,1,0,1,,,,,
,,,,,,T. Tshabalala,Platinum,1,0,1,,,,,
,,,,,,T. Khuboni,Highlands Park,1,0,1,,,,,
,,,,,,A. Funga,Ajax,1,0,1,,,,,
,,,,,,T. Rakhale,Pirates,1,0,1,,,,,
,,,,,,P. Sekome,Chippa Utd,1,0,1,,,,,
,,,,,,C. Makgaka,Baroka,1,0,1,,,,,
,,,,,,T. Modise,Mamelodi,1,0,1,,,,,
,,,,,,L. Nonyane,Arrows,1,0,1,,,,,
,,,,,,S. Zuke,Chippa Utd,1,0,1,,,,,
,,,,,,C. Jampies,Bloemfontein,1,0,1,,,,,
,,,,,,M. Dlamini,Maritzburg Utd,1,0,1,,,,,
,,,,,,R. Kgaswane,Baroka,1,0,1,,,,,
,,,,,,T. Qalinge,Pirates,1,0,1,,,,,
,,,,,,E. Rodgers,BV Wits,1,0,1,,,,,
,,,,,,L. Castro,Mamelodi,1,0,1,,,,,
,,,,,,L. Shiba,Chippa Utd,1,0,1,,,,,
,,,,,,M. Sekola,Free State,1,0,1,,,,,
,,,,,,S. Letsoalo,Baroka,1,0,1,,,,,
,,,,,,D. Cardoso,Kaizer Chiefs,1,0,1,,,,,
,,,,,,V. Kobola,Cape Town City,1,0,1,,,,,
,,,,,,X. Mlambo,BV Wits,1,0,1,,,,,
,,,,,,T. Kapini,Highlands Park,1,0,1,,,,,
,,,,,,S. Zulu,Platinum,1,0,1,,,,,
,,,,,,M. Masango,SuperSport Utd,1,0,1,,,,,
,,,,,,P. Zulu,BV Wits,1,0,1,,,,,
,,,,,,E. Chirambadare,Kaizer Chiefs,1,0,1,,,,,
,,,,,,V. Ntanga,Arrows,1,0,1,,,,,
,,,,,,M. Dlamini,Maritzburg Utd,1,0,1,,,,,
,,,,,,T. Matsemela,Polokwane,1,0,1,,,,,
,,,,,,T. Qalinge,Pirates,1,0,1,,,,,
,,,,,,S. Hlongwane,Polokwane,1,0,1,,,,,
,,,,,,M. Masuku,Chippa Utd,1,0,1,,,,,
,,,,,,M. Mabule,Platinum,1,0,1,,,,,
,,,,,,T. Modise,Mamelodi,1,0,1,,,,,
